Taxon,n,ref
Tellervo_zoilus,32,Emmel et al. 1974 
Amauris_ellioti,,
Amauris_niavius,,Other counts in Robinson
Amauris_tartarea,37-40,Bernardi and de Lesse 1964
Ideopsis_gaura,,range in the lit for other species
Ideopsis_vulgaris,,
Miriamica_sp,,
Parantica_agleoides,33,Saitoh and Abe 1969
Parantica_aspasia,,
Parantica_luzonensis,,
Parantica_melusine,22,Maeki and Ae 1969
Danaus_chrysippus,30,Sadhotra 2009
Danaus_genutia,30,Rao and Murty 1975
Danaus_cleophile,30,Brown et al. 2004
Danaus_plexippus,28,Hamm 2016
Danaus_erippus,30,Brown et al. 2004
Danaus_chrysippus,31,de lesse and Condamin 1962
Danaus_chrysippus,30,Srivastava and Gupta 1961; Gupta 1964
Danaus_eresimus,29-30,Maeki and Remington 1960a; Maeki 1961
Danaus_gilippus,29-30,Maeki and Remington 1960a; Maeki 1961
Danaus_ismare,,
Danaus_petilia,,
Tirumala_hamata,31-36,Saitoh and Abe 1969; Saitoh and Abe 1970
Tirumala_septentrionis,32-34,Maeki and Ae 1969* Note it is misspelled in the citation
Euploea_camaralzeman,,
Euploea_corinna,30,Saitoh and Abe 1969
Euploea_eunice,,¾¾
Euploea_mulciber,29-30,Maeki et al. 1969; Saitoh and Abe 1969; Saitoh and Abe 1970 (strongly suggest 29 is base)
Idea_leuconoe,30,Maeki and Ae 1969
Idea_lynceus,,¾¾
Idea_stolli,,
Anetia_briarea,31,Brown et al. 2004
Anetia_jaegeri,,
Anetia_pantheratus,31,Brown et al. 2004
Lycorea_halia,,
Lycorea_ilione,30,Brown et al. 2004